POS	CRC01-P24NNS14	CRC01-P24NNS4	CRC01-P24NNS8	CRC01-P24NS13	CRC01-P24NS14	CRC01-P24NS16	CRC01-P24NS17	CRC01-P24NS18	CRC01-P24NS19	CRC01-P24NS1	CRC01-P24NS3	CRC01-P24NS5	CRC01-P39TNS3	CRC01-P39TS11	CRC01-P39TS13	CRC01-P39TS15	CRC01-P39TS4	CRC01-P39TS8	CRC01-P39TS9	CRC01.P42.TS.17	CRC01.P42.TS.2	CRC01.P42.TS.3	CRC01-P59NNS11	CRC01-P59NNS15	CRC01-P59NNS16	CRC01-P59NNS18	CRC01-P59NNS1	CRC01-P59NNS5	CRC01-P59NNS9	CRC01-P59NS10	CRC01-P59NS11	CRC01-P59NS18	CRC01-P59NS7	CRC01-P87NNS15	CRC01-P87NNS17	CRC01-P87NNS5	CRC01-P87NNS9	CRC01-P87NS10	CRC01-P87NS12	CRC01-P87NS15	CRC01-P87NS9	CRC01-P92NNS18	CRC1_P24_Lgr5_14	CRC1_P24_Lgr5_19	CRC1_P87_Lgr5_12	CRC1_P87_Lgr5_20
1903	8	13	9	9	7	5	9	16	2	14	4	12	253	805	806	590	433	610	690	262	132	182	24	13	8	8	19	40	15	28	6	53	136	96	14	58	17	32	28	28	113	56	17	54	69	102
1904	8	12	9	9	7	5	9	16	2	14	3	12	253	808	803	590	431	612	693	261	131	180	24	14	8	8	20	41	15	28	6	52	136	95	14	57	17	33	28	30	113	56	17	53	71	101
1905	8	13	9	9	7	5	10	15	2	14	3	12	249	802	792	576	425	598	684	261	131	181	24	14	8	8	20	42	15	28	6	51	137	96	14	57	17	33	29	29	115	55	17	54	71	104
1906	8	13	9	9	7	5	10	15	2	14	5	12	258	813	806	587	434	615	693	256	128	181	23	14	8	8	20	42	15	28	6	54	135	95	14	58	17	33	29	30	115	57	17	53	70	103
1907	8	12	9	9	7	5	10	16	2	14	5	12	264	825	815	593	439	622	712	262	133	185	24	14	8	8	20	42	15	28	6	57	135	96	14	58	17	33	30	31	117	57	17	55	70	104
1908	8	13	9	9	7	5	10	14	2	14	5	12	261	816	798	581	432	607	684	251	124	176	24	14	8	8	20	43	14	27	6	53	134	92	14	58	17	33	30	30	113	55	16	55	69	103
1909	8	13	9	10	7	5	10	15	2	14	4	12	262	817	803	589	429	606	705	248	128	180	24	14	8	8	20	41	14	26	6	55	131	93	14	57	16	31	30	31	115	58	16	54	68	103
1910	8	12	9	11	7	5	10	16	2	14	5	12	265	827	814	595	438	614	714	260	134	184	24	14	8	8	20	41	14	28	6	55	136	96	15	58	17	30	29	28	116	58	17	55	66	104
1911	8	13	9	11	7	5	10	15	2	14	5	12	266	831	812	601	442	625	718	256	134	183	24	14	8	8	20	40	15	27	6	56	137	95	17	58	17	32	30	31	117	58	17	54	67	104
1912	8	13	9	11	7	5	10	16	2	14	5	12	263	818	794	602	433	606	716	249	131	184	24	14	8	8	20	40	15	27	6	55	139	98	17	56	17	32	29	32	112	57	17	54	67	104
1913	8	8	9	11	7	2	6	16	2	13	4	12	188	804	782	512	316	613	706	251	130	181	18	9	6	5	8	32	12	26	4	55	135	72	12	57	14	32	29	32	114	58	15	54	67	104
1914	8	13	9	11	7	5	9	16	2	13	5	12	263	820	814	602	434	620	713	244	131	179	24	13	8	8	19	40	15	27	6	55	132	96	17	58	17	32	28	30	115	57	17	51	66	104
1915	8	12	9	11	7	5	10	16	2	14	4	12	265	825	818	609	433	615	716	249	132	181	23	14	8	8	20	41	15	26	6	54	138	98	17	59	17	32	29	31	117	58	17	55	65	104
1916	8	13	9	11	7	5	10	14	2	14	4	12	261	824	813	602	437	615	721	247	135	180	23	13	8	8	20	42	15	27	6	56	141	98	17	59	17	32	28	31	114	58	16	57	66	103
1917	8	13	9	11	7	5	10	16	2	14	5	12	270	835	823	626	445	626	731	250	134	186	24	14	8	8	21	42	15	27	6	56	142	98	17	59	17	31	30	32	113	58	17	59	66	104
1918	8	13	9	11	7	5	10	16	2	14	3	12	264	827	817	600	442	621	716	245	132	181	24	14	8	8	21	41	14	26	6	55	141	95	14	58	14	32	20	21	108	59	17	58	65	102
1919	8	12	9	11	7	5	10	15	2	14	4	12	269	834	812	619	448	631	728	248	132	183	24	14	8	8	21	40	15	26	6	57	140	96	17	57	17	31	29	24	114	58	17	59	66	106
1920	8	13	9	11	7	5	10	16	2	14	5	11	270	830	801	615	436	624	723	248	132	180	24	14	8	8	20	42	15	26	6	57	136	96	17	58	17	32	28	32	111	58	17	60	66	107
1921	8	13	9	13	7	5	10	17	2	15	4	12	282	862	856	632	444	645	744	262	154	204	24	14	9	8	19	46	15	28	7	70	154	100	17	61	16	32	29	38	114	76	17	66	72	111
1922	8	13	9	12	7	5	10	17	2	14	5	12	282	868	856	637	448	641	739	259	156	199	24	14	9	8	19	48	15	28	7	70	153	99	17	61	17	33	29	37	115	76	17	65	72	110
1923	8	13	9	13	7	5	10	17	2	14	4	12	281	866	854	640	446	647	745	262	147	201	24	14	9	8	20	47	15	28	7	70	152	101	17	60	17	32	30	37	115	76	17	64	72	110
1924	8	13	9	13	7	5	10	17	2	15	4	12	284	861	849	638	446	650	745	257	149	201	25	14	9	8	20	48	16	27	7	71	155	100	17	61	17	33	30	38	114	77	17	66	72	111
1925	8	15	9	13	7	5	10	17	2	15	5	12	280	863	840	634	439	641	742	252	145	200	24	13	9	8	20	46	16	27	6	71	146	97	17	60	17	31	29	35	111	74	16	64	71	109
1926	8	14	9	13	7	5	10	17	2	15	5	12	280	871	848	631	440	644	740	254	145	205	25	13	9	8	19	48	16	28	6	66	153	100	17	61	17	33	29	38	114	75	17	67	72	109
1927	7	14	9	13	7	5	10	17	2	15	4	12	281	864	853	627	445	647	731	253	152	202	25	13	9	8	20	48	17	28	7	69	149	100	17	59	17	33	30	26	114	76	17	64	70	111
1928	8	14	9	13	7	5	9	17	2	15	5	12	287	887	861	657	450	658	750	254	149	205	25	13	9	8	20	48	17	28	7	69	153	99	17	60	17	33	30	38	115	76	17	67	71	112
1929	8	15	9	6	7	5	10	17	2	15	5	9	288	875	848	656	450	652	756	252	147	206	24	14	9	8	20	46	17	28	5	73	155	98	13	52	14	33	26	25	114	77	15	67	71	111
1930	8	15	9	13	7	5	10	16	2	16	4	12	289	891	865	664	447	657	759	255	149	201	25	13	9	8	20	48	17	28	7	72	155	101	17	60	17	33	29	38	116	78	16	67	72	113
1931	8	15	9	13	7	5	10	17	2	16	5	11	291	889	852	656	447	661	760	246	149	202	24	14	9	8	20	48	17	28	7	73	158	97	17	61	17	33	30	38	116	77	17	67	72	112
1932	8	14	9	13	7	5	9	17	2	16	4	11	288	876	846	648	448	649	749	246	149	199	24	13	9	8	20	45	17	28	6	75	156	96	17	61	10	32	22	34	111	75	16	66	71	112
1933	8	14	9	14	7	5	10	16	2	16	4	11	291	833	861	629	448	651	758	247	150	199	25	13	9	8	20	44	17	28	7	74	156	99	17	62	17	31	30	35	114	78	17	66	74	109
1934	8	15	9	15	7	5	10	18	2	16	5	11	290	901	859	666	450	649	760	251	150	197	25	14	9	8	19	48	17	28	7	74	157	97	17	63	17	34	30	38	110	78	16	67	74	111
1935	8	14	9	15	7	5	10	18	2	15	4	10	293	894	864	677	449	656	762	247	147	200	24	13	9	8	20	47	17	27	7	72	160	99	17	63	17	33	30	38	115	76	16	67	74	107
1936	8	15	9	15	7	5	10	18	2	15	4	10	292	896	854	668	452	653	755	249	146	204	25	13	9	8	20	46	17	28	7	75	159	100	17	63	18	34	29	38	114	75	16	66	74	112
1937	8	15	9	15	7	5	9	19	2	16	4	9	285	886	849	663	445	646	747	230	147	192	25	14	8	8	20	47	17	27	7	74	152	99	17	60	18	33	29	38	111	73	16	67	73	112
1938	8	15	9	15	7	5	9	19	2	16	5	10	289	891	858	665	449	640	756	239	146	197	25	14	9	8	19	46	17	27	7	73	159	100	17	63	18	35	28	35	113	73	17	65	74	111
1939	8	15	9	15	7	5	10	19	2	16	5	11	285	883	861	668	450	651	772	239	148	200	25	14	9	8	20	47	17	27	7	73	155	100	16	64	18	33	26	36	113	77	16	65	75	111
1940	8	15	9	15	7	5	12	19	2	16	5	11	291	906	866	676	455	665	780	248	151	205	25	14	9	8	20	50	17	27	7	76	158	101	16	67	18	35	28	36	114	78	17	64	77	110
1941	8	15	9	15	7	5	11	19	2	14	4	11	286	892	856	663	449	650	584	247	150	206	25	13	8	8	21	49	17	28	7	75	154	100	16	65	13	33	24	34	111	79	16	65	75	111
1942	8	15	9	15	7	5	12	17	2	16	4	11	292	904	875	681	453	666	780	247	150	204	25	14	9	8	21	51	17	28	7	76	157	100	17	66	18	34	27	35	115	80	16	62	76	110
1943	8	15	9	15	7	5	12	18	2	16	5	11	294	905	871	688	459	666	783	248	153	206	25	13	9	8	21	50	17	27	7	74	157	103	17	65	18	34	26	35	113	80	17	64	77	109
1944	8	15	9	15	7	5	12	18	2	16	4	11	292	907	871	692	456	670	788	251	151	204	25	13	9	8	21	51	17	27	7	75	155	103	17	64	18	33	25	35	114	78	17	64	77	110
1945	8	15	9	15	7	5	12	18	2	16	5	11	293	906	863	689	457	669	779	241	146	201	25	14	9	8	21	51	17	26	7	75	158	103	17	65	18	34	26	35	114	77	17	65	73	113
1946	8	14	9	15	7	5	12	18	2	16	5	11	290	905	867	687	455	672	782	247	147	203	24	13	9	8	21	51	17	27	7	72	155	103	17	65	18	35	27	37	116	78	17	62	76	113
1947	8	15	9	15	7	5	12	18	2	16	4	11	294	900	869	687	455	666	785	240	146	199	25	14	9	8	21	49	17	27	7	74	153	102	17	64	18	34	27	35	115	78	16	63	78	113
1948	8	15	9	15	7	5	12	16	2	16	5	11	289	904	872	676	445	655	780	240	145	205	24	13	9	8	21	47	17	27	7	71	154	104	18	65	18	35	28	36	117	79	16	64	78	112
1949	8	15	9	15	7	5	12	18	2	16	5	10	293	903	870	687	454	652	782	244	142	200	25	14	9	8	21	50	17	29	7	71	156	101	18	65	18	35	27	37	116	78	17	65	77	112
1950	8	15	9	15	7	5	12	16	2	16	5	10	293	901	875	693	458	657	787	244	143	204	25	14	9	8	21	49	17	28	6	76	155	102	18	65	18	35	28	37	115	78	17	64	77	108
1951	8	15	9	15	7	5	11	18	2	16	5	10	288	900	868	685	451	657	775	243	141	198	25	13	9	8	21	50	17	27	7	74	151	101	18	64	18	34	26	36	112	78	17	63	76	111
1952	8	15	9	15	7	5	12	18	2	16	4	10	291	903	876	699	458	662	787	244	144	198	25	13	9	8	21	50	17	27	7	76	155	101	18	65	18	35	28	37	115	75	17	63	78	111
1953	8	15	9	15	7	5	12	17	2	16	4	10	288	898	867	689	451	650	781	241	140	203	25	13	9	8	20	45	17	26	7	74	154	100	18	65	18	36	28	37	115	76	17	60	77	107
1954	8	15	9	15	7	5	12	17	2	16	5	10	289	900	880	690	451	657	771	242	144	202	24	14	9	8	20	48	17	27	7	76	155	101	18	65	18	35	28	37	112	78	17	60	76	110
1955	8	15	9	15	7	5	12	17	2	16	5	10	293	907	887	695	466	667	784	238	143	200	25	14	9	8	21	49	17	27	7	74	155	102	18	65	18	35	28	37	117	77	17	61	75	111
1956	8	12	9	14	7	5	10	16	2	15	5	10	288	899	856	671	459	656	753	229	135	198	24	13	8	8	20	46	16	27	6	75	148	96	18	64	18	33	28	37	113	72	16	61	75	108
1957	8	15	9	15	7	5	12	17	2	16	5	10	296	905	885	685	463	664	768	242	139	200	25	14	8	8	21	49	17	27	7	77	154	102	18	61	18	37	27	37	115	78	17	60	76	110
1958	8	15	9	15	7	5	12	17	2	15	5	10	292	905	885	684	460	664	773	239	139	199	25	13	8	8	21	51	17	26	7	79	154	99	18	62	16	36	26	35	116	76	17	59	75	110
1959	8	15	9	15	7	5	12	17	2	16	5	10	295	893	882	688	462	668	771	240	135	196	23	14	8	8	20	49	17	27	7	78	155	100	18	64	17	37	28	28	115	76	17	59	76	109
1960	8	15	9	15	7	5	12	17	2	16	5	10	293	904	880	697	466	673	778	244	139	199	23	14	8	8	21	50	17	26	7	80	154	101	18	65	18	37	27	36	116	78	16	59	77	109
1961	8	15	9	15	7	5	12	18	2	17	4	10	290	888	865	680	454	662	764	240	135	195	23	12	8	8	21	56	16	25	5	77	153	101	18	64	18	36	29	33	111	82	17	61	79	109
1962	8	15	9	15	7	5	12	15	2	17	6	10	288	899	875	682	462	666	763	244	139	200	23	12	8	8	21	57	17	26	7	81	157	99	18	64	18	36	29	35	111	82	18	61	79	107
1963	8	14	9	15	7	5	12	17	2	17	6	10	290	905	879	680	458	663	776	238	139	197	22	11	8	8	21	57	17	27	6	81	156	100	18	63	18	36	29	36	115	80	18	59	80	108
1964	8	14	9	14	7	5	11	16	2	17	5	10	291	889	858	681	452	666	767	233	129	194	22	12	8	8	20	54	17	26	6	76	156	100	18	63	17	36	27	36	112	82	18	55	79	107
1965	8	14	9	15	7	5	12	17	2	17	6	10	292	899	873	690	460	665	774	234	133	195	22	12	8	8	22	57	17	27	6	78	158	100	18	65	18	37	29	35	116	84	18	58	79	108
1966	8	14	9	15	7	5	11	18	2	17	5	10	293	912	883	693	458	671	779	238	142	196	23	11	8	8	22	55	17	27	6	78	157	97	18	63	18	37	28	36	116	84	18	58	80	107
1967	8	14	9	15	7	5	12	16	2	17	6	10	292	896	878	684	456	668	778	240	141	200	21	12	8	8	22	55	16	27	6	77	154	97	18	61	18	37	28	36	115	83	18	56	81	102
1968	8	14	9	15	7	5	12	18	2	17	6	10	300	907	888	688	460	670	778	238	140	193	23	12	8	8	22	55	17	25	6	76	154	96	18	64	18	37	28	36	117	84	18	58	80	105
1969	8	14	9	15	7	5	11	18	2	16	6	10	299	907	882	680	458	672	774	237	141	193	23	12	8	8	22	56	17	26	6	74	148	99	18	61	18	36	28	35	116	84	16	57	82	106
1970	8	14	9	15	7	5	12	17	2	17	5	10	299	889	884	660	452	665	782	238	141	195	22	12	8	8	22	54	17	26	5	76	150	98	18	65	18	37	29	34	115	83	16	58	82	104
1971	8	14	9	15	7	5	12	18	2	17	5	10	302	900	885	679	457	669	778	241	139	194	23	11	8	8	22	56	17	26	6	75	154	97	18	65	18	39	29	36	115	84	15	57	82	104
1972	7	14	9	15	7	5	12	16	2	16	6	10	289	870	855	654	439	651	744	224	122	187	23	12	8	8	22	55	17	25	4	76	151	95	18	64	17	39	28	35	113	85	15	56	75	102
1973	8	14	9	15	7	5	12	17	2	17	4	10	298	888	883	663	454	664	773	237	139	193	24	12	8	8	22	56	17	26	6	78	150	95	18	64	18	39	26	34	113	84	16	58	79	103
1974	8	14	9	15	7	5	12	17	2	17	6	10	299	897	877	568	457	672	775	238	137	195	24	12	8	8	22	57	17	25	6	76	150	72	14	64	18	39	28	22	113	85	12	56	79	103
1975	8	13	9	14	7	5	12	16	2	16	5	10	292	879	867	657	451	660	761	231	128	192	23	11	8	8	21	55	17	26	5	76	147	97	18	64	17	39	29	35	112	83	16	55	78	100
1976	8	14	9	16	7	5	12	14	2	17	6	10	289	882	867	656	452	661	747	231	124	182	24	11	8	8	22	56	17	26	6	74	148	95	18	63	18	38	29	33	109	85	16	55	78	102
1977	8	14	9	17	7	5	12	16	2	16	6	10	294	886	863	666	456	671	771	232	131	189	23	12	8	8	22	55	17	26	6	76	150	94	18	64	18	39	29	35	115	84	15	54	77	104
1978	8	12	9	17	7	5	11	16	2	17	6	10	300	889	870	662	453	661	765	234	128	186	24	12	8	8	22	55	17	26	6	70	149	97	18	63	18	39	29	35	115	85	15	57	78	101
1979	8	14	9	17	7	5	12	17	2	17	6	10	293	875	856	656	453	655	757	228	124	186	23	11	8	8	21	54	17	26	4	72	149	97	18	60	18	39	28	33	112	84	16	57	78	99
1980	8	14	9	18	7	5	12	17	2	17	6	10	291	895	867	663	456	667	765	233	128	188	23	12	8	8	20	55	17	26	6	70	150	97	18	63	18	39	29	35	111	83	16	56	78	102
1981	8	14	9	18	7	5	11	17	2	17	5	9	294	897	869	662	459	664	768	229	130	185	24	11	8	8	22	54	17	26	6	74	149	95	18	62	18	38	28	35	114	80	15	56	78	102
1982	8	13	9	18	7	5	12	17	2	17	5	10	293	897	858	654	452	656	758	228	127	183	20	11	8	8	22	53	17	26	6	74	147	97	17	63	17	38	28	35	113	85	16	56	79	101
1983	8	14	9	17	7	5	12	17	2	17	6	7	293	891	853	658	456	662	757	223	127	185	20	12	8	8	21	53	17	26	5	75	148	95	16	58	13	39	29	30	112	85	16	56	79	100
1984	7	14	9	19	7	5	12	17	2	17	6	10	288	886	849	653	453	661	745	222	124	177	19	10	8	8	22	55	17	25	5	71	147	96	18	63	18	39	29	34	110	84	16	54	78	100
1985	8	14	9	19	7	5	12	17	2	17	6	10	292	895	859	652	453	664	756	227	129	183	20	10	8	8	21	55	17	26	6	73	147	97	18	64	18	38	28	34	112	85	16	56	78	99
1986	8	14	9	19	7	5	12	17	2	17	5	10	293	891	854	655	454	663	761	227	126	186	20	10	8	8	22	56	17	26	6	75	149	98	18	63	18	39	30	34	112	85	16	55	79	100
1987	8	13	9	19	7	5	12	17	2	17	5	10	294	891	856	656	450	660	757	225	129	182	20	10	8	8	22	55	17	26	6	75	145	95	18	61	18	39	29	35	109	85	16	54	79	99
1988	8	14	9	19	7	5	12	17	2	17	4	10	291	889	856	650	452	654	756	223	129	179	20	10	8	8	22	54	17	26	6	73	147	98	18	63	18	39	28	34	112	85	15	54	79	96
1989	6	14	9	19	7	5	11	17	2	17	5	8	285	882	860	605	447	653	707	220	126	178	19	9	8	7	22	55	17	24	6	70	146	98	18	63	15	39	20	29	112	83	15	55	76	98
1990	6	14	9	19	7	5	11	17	2	16	6	8	283	877	862	639	448	654	750	223	127	176	20	9	8	8	22	56	17	24	6	71	147	95	18	62	18	38	30	33	112	85	15	54	77	97
1991	6	14	9	19	7	5	12	16	2	16	5	8	286	887	861	649	453	659	746	222	127	180	20	10	8	8	22	56	17	24	5	72	147	97	18	63	18	39	30	32	110	83	15	53	78	98
1992	6	14	8	19	7	5	12	17	2	16	6	8	280	875	850	646	450	654	737	220	128	173	20	9	8	8	22	53	17	23	6	66	143	96	18	63	18	38	27	34	109	84	15	55	77	94
1993	6	14	7	19	7	5	12	16	2	16	6	8	276	868	845	647	450	651	739	218	128	175	20	10	8	8	22	52	17	21	6	66	141	95	18	64	17	39	28	33	109	83	15	54	77	92
1994	6	14	7	19	7	5	12	16	2	16	6	8	274	857	840	634	444	644	733	214	123	175	20	10	8	8	22	54	17	23	6	65	143	93	18	63	16	39	27	32	108	84	14	55	76	90
1995	6	14	7	19	7	5	12	15	2	16	6	8	274	847	819	633	444	640	718	211	126	175	20	10	8	8	21	51	17	23	6	62	140	96	18	61	16	38	27	34	105	83	15	55	76	91
1996	6	14	7	19	7	5	12	16	2	16	5	8	271	866	843	642	448	641	731	213	125	173	20	10	8	8	22	53	17	23	6	64	141	97	18	64	16	39	28	33	107	84	15	53	76	91
1997	5	14	7	18	6	5	12	15	2	15	4	8	274	866	841	635	447	642	716	217	125	169	20	9	8	8	21	50	16	21	6	66	141	94	18	63	16	38	27	32	107	83	15	52	74	90
1998	6	14	7	19	7	5	12	15	2	14	6	8	271	851	827	631	438	631	709	213	116	170	19	10	8	8	22	52	17	22	6	66	141	96	18	62	16	38	27	34	102	80	15	53	76	91
1999	5	14	5	18	7	4	9	13	2	15	6	7	266	841	824	625	436	635	706	207	119	168	20	9	8	8	22	50	17	20	5	63	130	94	18	63	16	38	23	34	106	81	14	53	75	89
2000	6	14	7	19	7	5	12	16	2	15	6	8	269	853	839	634	442	642	710	213	124	166	20	9	8	8	22	53	17	23	6	63	142	97	18	63	16	39	28	34	107	80	14	54	75	90
2001	6	14	7	18	7	5	12	16	2	15	6	8	270	853	837	626	437	637	707	212	120	164	20	10	8	8	22	52	17	23	6	66	143	97	18	62	16	37	27	33	108	83	15	54	75	90
2002	6	14	7	19	7	5	12	16	2	14	5	8	272	841	834	627	438	631	686	209	124	163	20	9	8	8	22	52	17	23	6	66	139	97	18	60	16	38	28	32	108	83	15	54	74	88
2003	6	14	7	19	7	5	12	15	2	15	6	8	271	846	837	631	435	643	690	213	122	163	20	10	8	8	22	52	17	23	6	65	141	97	18	62	16	39	28	33	106	83	15	52	73	88
2004	6	14	7	18	7	5	12	16	2	15	4	8	270	851	834	626	435	636	689	209	123	160	20	9	8	8	22	50	17	23	6	61	136	95	18	61	16	39	26	32	108	82	15	51	72	88
2005	6	14	7	19	7	5	12	16	2	15	6	8	270	831	825	614	431	626	681	205	122	157	20	9	8	7	22	52	17	22	6	63	135	93	18	61	10	39	19	24	107	81	15	50	72	85
2006	6	14	7	19	7	5	12	16	2	15	5	8	272	845	828	628	435	628	682	210	119	157	19	10	8	8	22	49	17	22	6	64	134	95	18	61	16	39	28	34	106	84	15	52	72	86
2007	6	14	7	19	7	5	12	15	2	15	5	8	263	830	816	617	428	617	672	206	122	154	18	9	8	8	22	51	17	22	6	64	137	95	18	61	16	38	28	33	106	81	15	52	72	84
2008	6	14	7	19	7	5	12	16	2	15	4	8	269	843	826	622	426	625	679	207	119	154	19	9	8	8	22	50	17	22	6	63	138	90	18	61	16	38	28	34	108	83	15	51	71	86
2009	6	13	7	19	7	5	11	16	2	14	6	8	267	837	828	618	429	619	683	207	118	151	19	9	8	8	22	49	17	21	6	61	136	90	18	60	16	37	27	33	105	83	15	52	71	85
2010	6	14	7	18	7	5	12	16	2	15	6	8	268	827	824	614	423	621	668	208	118	157	19	9	8	8	22	51	17	22	6	64	137	89	18	60	15	37	28	34	104	84	15	52	71	86
2011	6	14	7	17	7	5	12	16	2	15	5	8	268	829	826	620	424	619	674	206	121	155	19	9	8	8	22	51	17	22	6	63	137	89	18	62	16	37	28	33	104	85	15	52	70	85
2012	6	13	7	17	7	5	12	16	2	15	6	8	263	820	820	613	422	613	661	210	120	154	18	10	8	8	21	50	17	21	6	62	134	88	18	60	16	37	28	34	101	86	15	52	69	85
2013	5	11	5	15	6	4	9	14	1	13	4	6	203	624	637	487	299	480	516	189	106	136	13	6	6	6	19	42	13	17	4	59	112	68	15	46	11	30	25	28	77	71	10	40	59	63
2014	4	9	4	13	5	3	8	13	1	12	4	5	188	581	592	455	278	435	489	187	105	131	12	6	5	5	18	42	12	17	3	57	108	61	11	44	9	27	23	26	74	69	9	38	57	63
2015	4	9	4	13	4	3	8	13	1	12	4	5	184	562	587	448	269	418	481	184	105	130	11	6	5	5	18	39	12	16	3	57	104	61	10	43	8	27	21	26	72	67	8	36	56	60
2016	4	7	4	13	4	3	8	12	1	12	4	5	181	568	583	440	266	418	469	180	101	130	11	5	5	5	17	39	12	16	3	55	102	60	10	39	8	26	19	22	70	66	8	35	54	59
2017	3	9	4	13	4	3	8	12	1	11	4	5	181	565	587	450	268	419	476	185	106	131	11	6	5	5	17	40	12	16	3	56	101	61	10	39	9	26	19	23	69	68	8	35	54	59
2018	3	9	4	13	4	3	8	12	1	11	4	5	179	562	584	448	265	421	472	181	103	128	11	6	5	5	17	39	12	16	3	55	100	61	10	38	9	26	20	23	69	67	8	35	53	58
2019	3	8	4	13	4	3	8	12	1	11	4	5	178	558	585	445	265	417	472	179	104	127	11	5	5	5	17	38	11	16	3	56	99	60	9	38	9	25	20	23	68	66	8	35	52	58
2020	3	9	4	13	4	3	7	12	1	11	4	5	178	556	585	443	265	414	472	180	101	126	11	6	5	5	17	40	11	16	3	56	101	58	9	39	9	26	19	24	67	66	8	35	52	58
2021	3	9	4	13	4	3	7	12	1	11	4	5	176	552	583	442	261	414	461	177	100	127	11	6	5	5	17	39	9	16	3	55	99	56	9	39	9	26	19	24	69	66	8	34	51	57
2022	3	9	4	13	4	3	7	12	1	10	4	5	175	551	582	438	259	409	459	177	102	128	11	6	5	4	17	40	9	16	3	55	95	55	9	38	9	26	18	24	69	67	8	33	50	55
2023	3	9	4	13	4	3	7	12	1	10	3	5	175	550	581	437	256	412	459	176	101	125	10	6	5	4	17	40	9	16	3	53	98	54	9	39	9	26	19	23	67	67	8	32	51	55
2024	3	9	4	13	4	3	7	12	1	10	4	5	171	549	575	430	249	407	442	173	100	124	10	5	5	4	17	38	9	16	3	52	98	54	9	38	9	25	17	22	67	67	8	32	50	54
2025	3	9	4	13	4	3	7	11	1	10	4	5	170	543	572	431	250	401	442	172	101	120	10	6	5	4	17	39	9	15	3	52	96	54	9	38	9	26	18	22	67	67	8	32	51	54
2026	3	9	4	13	4	3	7	11	1	10	4	5	171	541	567	427	248	398	444	168	101	123	10	6	5	4	17	40	9	16	3	53	94	51	9	36	9	26	18	23	67	67	8	31	51	52
2027	3	7	4	13	4	3	7	11	1	10	4	5	170	536	564	421	246	396	434	168	98	123	10	6	5	4	17	39	9	16	3	53	95	52	9	34	8	26	18	23	67	65	8	30	50	53
2028	3	8	4	13	4	3	7	11	1	10	3	5	168	534	566	412	240	392	429	165	99	121	10	6	5	4	17	39	9	16	3	53	93	51	9	34	8	26	18	22	67	66	8	30	50	53
2029	3	8	4	13	4	3	7	11	1	10	4	5	168	531	564	411	241	392	427	164	99	120	10	6	5	4	17	39	9	15	3	52	91	48	9	34	8	25	18	23	64	66	7	30	49	51
2030	3	8	4	13	4	3	7	11	1	10	4	5	167	527	557	407	238	391	427	165	99	122	10	6	5	4	16	40	9	16	3	52	93	49	9	33	8	26	18	23	63	66	7	30	49	51
2031	3	8	4	13	4	3	7	11	1	10	4	5	165	524	559	406	239	390	424	162	99	125	10	6	5	4	17	40	9	16	3	53	96	50	9	34	8	26	17	22	64	67	7	30	46	51
2032	3	8	4	13	4	3	7	11	1	10	4	5	163	520	555	404	232	386	420	162	97	124	10	6	5	4	17	39	9	16	3	53	94	50	9	33	8	26	17	23	64	64	7	30	45	49
2033	3	8	4	13	4	3	7	11	1	10	4	5	162	523	553	405	233	388	416	158	98	123	10	6	5	4	17	40	9	16	3	52	95	51	9	34	8	26	17	21	63	64	7	30	45	49
2034	3	7	4	13	4	3	7	11	1	10	4	5	159	514	551	398	230	385	418	156	94	121	10	5	5	4	16	38	9	15	3	51	93	50	9	34	8	26	16	21	62	64	7	29	45	49
2035	3	8	4	13	4	3	7	11	1	10	4	5	157	513	546	392	228	378	412	158	95	121	10	5	5	4	17	39	9	14	3	51	92	49	9	34	8	25	17	21	63	65	7	30	45	49
2036	3	7	4	13	4	3	7	11	1	10	3	5	159	511	549	392	228	379	408	157	98	120	10	6	5	4	17	40	9	16	3	48	91	50	9	34	8	25	16	23	63	66	7	30	46	48
2037	3	8	4	13	4	3	7	11	1	10	4	5	158	505	543	379	224	379	410	154	98	121	10	6	5	4	16	39	8	16	3	49	93	49	6	33	8	25	16	22	62	66	7	30	44	47
2038	3	8	4	13	4	3	7	11	1	10	4	5	156	504	540	379	223	375	404	154	96	120	10	6	5	4	17	38	8	16	3	50	91	49	6	33	8	25	16	22	61	66	7	30	44	45
2039	3	8	4	13	4	3	7	11	1	10	4	5	157	503	540	376	221	375	404	156	96	120	10	6	5	4	17	39	8	16	3	49	92	49	6	33	8	25	16	22	60	66	7	30	43	44
2040	3	8	4	13	4	3	7	11	1	10	4	5	156	503	535	374	219	373	404	156	94	120	10	6	5	4	17	39	8	16	3	48	92	47	6	33	8	25	16	23	60	66	7	30	44	44
2041	3	8	4	13	4	3	7	11	1	10	4	5	155	504	538	357	219	372	401	156	93	120	10	6	5	4	17	39	8	16	3	49	92	48	6	33	8	25	15	23	60	66	7	28	42	43
2042	3	8	4	13	4	3	7	11	1	10	3	5	152	499	534	355	217	366	395	153	94	118	9	6	5	4	17	39	8	16	3	48	91	47	6	31	8	25	15	23	60	66	7	29	41	42
2043	3	8	4	13	4	3	7	11	1	8	3	5	152	497	528	349	215	365	390	149	94	115	9	6	5	4	17	36	8	16	3	48	91	47	6	32	8	25	15	22	59	65	7	29	39	42
